tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-01-01,DKI4 (Lubang Buaya),41,,37,14,35,4,41,PM10,BAIK
2021-01-01,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25,SEDANG
2021-01-02,DKI1 (Bunderan HI),27,46,27,7,47,7,47,O3,BAIK
2021-01-03,DKI1 (Bunderan HI),44,58,25,7,40,13,58,PM25,SEDANG
2021-01-04,DKI1 (Bunderan HI),30,48,24,4,32,7,48,PM25,BAIK
2021-01-05,DKI1 (Bunderan HI),38,53,24,6,31,9,53,PM25,SEDANG
2021-01-06,DKI1 (Bunderan HI),41,58,23,13,46,13,58,PM25,SEDANG
2021-01-07,DKI1 (Bunderan HI),35,47,22,6,39,10,47,PM25,BAIK
2021-01-10,DKI1 (Bunderan HI),23,25,16,11,33,8,33,O3,BAIK
2021-01-11,DKI1 (Bunderan HI),38,54,17,14,27,10,54,PM25,SEDANG
2021-01-12,DKI1 (Bunderan HI),29,50,20,12,26,15,50,PM25,BAIK
2021-01-13,DKI1 (Bunderan HI),34,44,17,13,20,9,44,PM25,BAIK
2021-01-19,DKI1 (Bunderan HI),31,41,13,12,25,12,41,PM25,BAIK
2021-01-20,DKI1 (Bunderan HI),35,34,12,12,22,13,35,PM10,BAIK
2021-01-23,DKI1 (Bunderan HI),72,108,14,43,44,20,108,PM25,TIDAK SEHAT
2021-01-24,DKI1 (Bunderan HI),33,48,12,14,23,10,48,PM25,BAIK
2021-01-27,DKI1 (Bunderan HI),20,20,13,10,19,8,20,PM10,BAIK
2021-01-28,DKI1 (Bunderan HI),27,41,14,18,17,11,41,PM25,BAIK
2021-01-29,DKI1 (Bunderan HI),30,53,16,17,24,11,53,PM25,SEDANG
2021-01-30,DKI1 (Bunderan HI),27,37,13,16,24,12,37,PM25,BAIK
2021-01-04,DKI5 (Kebon Jeruk) Jakarta Barat,27,,14,7,31,4,31,CO,BAIK
2021-01-05,DKI5 (Kebon Jeruk) Jakarta Barat,41,,15,9,28,,41,PM10,BAIK
2021-01-06,DKI5 (Kebon Jeruk) Jakarta Barat,33,,12,19,46,,46,CO,BAIK
2021-01-07,DKI5 (Kebon Jeruk) Jakarta Barat,27,,13,11,36,,36,CO,BAIK
2021-01-08,DKI5 (Kebon Jeruk) Jakarta Barat,36,,18,19,28,,36,PM10,BAIK
2021-01-09,DKI5 (Kebon Jeruk) Jakarta Barat,46,,17,26,27,12,46,PM10,BAIK
2021-01-10,DKI5 (Kebon Jeruk) Jakarta Barat,19,,20,8,34,5,34,CO,BAIK
