tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-01-01,DKI4 (Lubang Buaya),0.3058823529411765,0.4285714285714286,0.5396825396825395,0.5714285714285714,0.54,0.0,41,PM10,BAIK
2021-01-01,DKI1 (Bunderan HI),0.27058823529411763,0.21428571428571427,0.4126984126984127,0.19047619047619047,0.45999999999999996,0.2647058823529411,53,PM25,SEDANG
2021-01-02,DKI1 (Bunderan HI),0.1411764705882353,0.16883116883116886,0.38095238095238093,0.23809523809523808,0.78,0.08823529411764705,47,O3,BAIK
2021-01-03,DKI1 (Bunderan HI),0.34117647058823525,0.24675324675324675,0.3492063492063492,0.23809523809523808,0.64,0.2647058823529411,58,PM25,SEDANG
2021-01-04,DKI1 (Bunderan HI),0.1764705882352941,0.1818181818181818,0.3333333333333333,0.09523809523809523,0.48,0.08823529411764705,48,PM25,BAIK
2021-01-05,DKI1 (Bunderan HI),0.27058823529411763,0.21428571428571427,0.3333333333333333,0.19047619047619047,0.45999999999999996,0.14705882352941177,53,PM25,SEDANG
2021-01-06,DKI1 (Bunderan HI),0.3058823529411765,0.24675324675324675,0.31746031746031744,0.5238095238095238,0.76,0.2647058823529411,58,PM25,SEDANG
2021-01-07,DKI1 (Bunderan HI),0.23529411764705882,0.17532467532467536,0.30158730158730157,0.19047619047619047,0.62,0.17647058823529413,47,PM25,BAIK
2021-01-10,DKI1 (Bunderan HI),0.09411764705882353,0.03246753246753245,0.20634920634920634,0.4285714285714285,0.5,0.11764705882352941,33,O3,BAIK
2021-01-11,DKI1 (Bunderan HI),0.27058823529411763,0.22077922077922077,0.2222222222222222,0.5714285714285714,0.38,0.17647058823529413,54,PM25,SEDANG
2021-01-12,DKI1 (Bunderan HI),0.1647058823529412,0.1948051948051948,0.2698412698412698,0.47619047619047616,0.36,0.32352941176470584,50,PM25,BAIK
2021-01-13,DKI1 (Bunderan HI),0.22352941176470592,0.15584415584415587,0.2222222222222222,0.5238095238095238,0.24000000000000002,0.14705882352941177,44,PM25,BAIK
2021-01-19,DKI1 (Bunderan HI),0.18823529411764706,0.13636363636363638,0.15873015873015872,0.47619047619047616,0.33999999999999997,0.2352941176470588,41,PM25,BAIK
2021-01-20,DKI1 (Bunderan HI),0.23529411764705882,0.09090909090909091,0.14285714285714285,0.47619047619047616,0.28,0.2647058823529411,35,PM10,BAIK
2021-01-24,DKI1 (Bunderan HI),0.21176470588235297,0.1818181818181818,0.14285714285714285,0.5714285714285714,0.30000000000000004,0.17647058823529413,48,PM25,BAIK
2021-01-27,DKI1 (Bunderan HI),0.05882352941176472,0.0,0.15873015873015872,0.38095238095238093,0.22,0.11764705882352941,20,PM10,BAIK
2021-01-28,DKI1 (Bunderan HI),0.1411764705882353,0.13636363636363638,0.1746031746031746,0.7619047619047619,0.18000000000000002,0.2058823529411765,41,PM25,BAIK
2021-01-29,DKI1 (Bunderan HI),0.1764705882352941,0.21428571428571427,0.20634920634920634,0.7142857142857143,0.31999999999999995,0.2058823529411765,53,PM25,SEDANG
2021-01-30,DKI1 (Bunderan HI),0.1411764705882353,0.1103896103896104,0.15873015873015872,0.6666666666666666,0.31999999999999995,0.2352941176470588,37,PM25,BAIK
2021-01-04,DKI5 (Kebon Jeruk) Jakarta Barat,0.1411764705882353,0.4285714285714286,0.1746031746031746,0.23809523809523808,0.45999999999999996,0.0,31,CO,BAIK
2021-01-05,DKI5 (Kebon Jeruk) Jakarta Barat,0.3058823529411765,0.4285714285714286,0.19047619047619047,0.3333333333333333,0.4,0.4117647058823529,41,PM10,BAIK
2021-01-06,DKI5 (Kebon Jeruk) Jakarta Barat,0.21176470588235297,0.4285714285714286,0.14285714285714285,0.8095238095238094,0.76,0.4117647058823529,46,CO,BAIK
2021-01-07,DKI5 (Kebon Jeruk) Jakarta Barat,0.1411764705882353,0.4285714285714286,0.15873015873015872,0.4285714285714285,0.5599999999999999,0.4117647058823529,36,CO,BAIK
2021-01-08,DKI5 (Kebon Jeruk) Jakarta Barat,0.24705882352941178,0.4285714285714286,0.23809523809523808,0.8095238095238094,0.4,0.4117647058823529,36,PM10,BAIK
2021-01-10,DKI5 (Kebon Jeruk) Jakarta Barat,0.047058823529411764,0.4285714285714286,0.2698412698412698,0.2857142857142857,0.52,0.02941176470588236,34,CO,BAIK
2021-01-11,DKI5 (Kebon Jeruk) Jakarta Barat,0.21176470588235297,0.4285714285714286,0.2857142857142857,0.38095238095238093,0.52,0.14705882352941177,34,CO,BAIK
2021-01-12,DKI5 (Kebon Jeruk) Jakarta Barat,0.11764705882352944,0.4285714285714286,0.30158730158730157,0.19047619047619047,0.6,0.05882352941176469,38,CO,BAIK
2021-01-13,DKI5 (Kebon Jeruk) Jakarta Barat,0.11764705882352944,0.4285714285714286,0.2698412698412698,0.14285714285714285,0.38,0.14705882352941177,27,CO,BAIK
2021-01-14,DKI5 (Kebon Jeruk) Jakarta Barat,0.2,0.4285714285714286,0.2222222222222222,0.2857142857142857,0.5599999999999999,0.08823529411764705,36,CO,BAIK
2021-01-15,DKI5 (Kebon Jeruk) Jakarta Barat,0.4352941176470589,0.4285714285714286,0.19047619047619047,0.619047619047619,0.66,0.08823529411764705,52,PM10,SEDANG
2021-01-16,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.4285714285714286,0.23809523809523808,0.47619047619047616,0.58,0.11764705882352941,37,CO,BAIK
2021-01-17,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.4285714285714286,0.2698412698412698,0.619047619047619,0.48,0.14705882352941177,32,CO,BAIK
2021-01-18,DKI5 (Kebon Jeruk) Jakarta Barat,0.4823529411764706,0.4285714285714286,0.30158730158730157,0.2857142857142857,0.45999999999999996,0.0,31,CO,BAIK
2021-01-19,DKI5 (Kebon Jeruk) Jakarta Barat,0.1647058823529412,0.4285714285714286,0.1746031746031746,0.19047619047619047,0.54,0.02941176470588236,35,CO,BAIK
2021-01-20,DKI5 (Kebon Jeruk) Jakarta Barat,0.1764705882352941,0.4285714285714286,0.19047619047619047,0.23809523809523808,0.5,0.4117647058823529,33,CO,BAIK
2021-01-21,DKI5 (Kebon Jeruk) Jakarta Barat,0.32941176470588235,0.4285714285714286,0.20634920634920634,0.619047619047619,0.58,0.11764705882352941,43,PM10,BAIK
2021-01-22,DKI5 (Kebon Jeruk) Jakarta Barat,0.35294117647058826,0.4285714285714286,0.2857142857142857,0.5238095238095238,0.64,0.32352941176470584,45,PM10,BAIK
2021-01-24,DKI5 (Kebon Jeruk) Jakarta Barat,0.1411764705882353,0.4285714285714286,0.1746031746031746,0.3333333333333333,0.41999999999999993,0.4117647058823529,29,CO,BAIK
2021-01-26,DKI5 (Kebon Jeruk) Jakarta Barat,0.4941176470588235,0.4285714285714286,0.2857142857142857,0.9999999999999999,0.5599999999999999,0.3529411764705882,57,PM10,SEDANG
2021-01-27,DKI5 (Kebon Jeruk) Jakarta Barat,0.0,0.4285714285714286,0.20634920634920634,0.14285714285714285,0.24000000000000002,0.4117647058823529,20,CO,BAIK
2021-01-28,DKI5 (Kebon Jeruk) Jakarta Barat,0.15294117647058825,0.4285714285714286,0.25396825396825395,0.4285714285714285,0.4,0.4117647058823529,28,PM10,BAIK
2021-01-29,DKI5 (Kebon Jeruk) Jakarta Barat,0.1764705882352941,0.4285714285714286,0.30158730158730157,0.38095238095238093,0.48,0.2058823529411765,32,CO,BAIK
2021-01-30,DKI5 (Kebon Jeruk) Jakarta Barat,0.10588235294117648,0.4285714285714286,0.2222222222222222,0.2857142857142857,0.38,0.17647058823529413,27,CO,BAIK
